Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
B2ALNI_A, -678.559312088, 78448.4595581, 4373.21317027, -147054.677493, 152700.721386, -147790.096421, -55234.6504083, -735.345873335, 49488.5083068, 152663.342364
B2ALNI_B, -0.446559626326, 32.5440011586, 1.02584955501, -61.9003422817, 63.605731464, -62.387875137, -22.8929736186, -0.374687644529, 20.4605467979, 63.4138790534
B2ALVA_A, -4359.41593167, 101515.03392, 2910.00724218, -188956.822321, 196613.521098, -190960.264551, -74380.1851112, -8416.36247544, 65231.8091458, 195812.927806
B2ALVA_B, 0.131463428337, 29.1005589309, 0.912344985805, -51.7928464275, 60.7956147765, -55.6088893019, -20.1371841523, -0.612300755634, 19.0277160377, 58.7037016995
B2NIVA_A, -4771.74156212, 76422.3408246, 4504.68830286, -145258.970181, 150988.02153, -158502.903935, -56854.3679074, -10372.0872747, 46494.8147913, 145190.16967
B2NIVA_B, 1.67664237454, 30.7650813025, 0.846830092934, -60.419733789, 59.1102368328, -60.109425266, -19.1893315192, 1.3324919355, 22.6816080752, 60.8675654499
LB2ALNI_A, 2532.80493699, 97960.8137899, 2854.63709784, -180819.402126, 194666.865565, -192299.759121, -66672.8599015, 3008.92105339, 73851.3142566, 190337.318413
LB2ALNI_B, 0.107090371893, 30.4195078179, 0.948635125918, -57.2774759213, 61.3885881043, -60.1855379557, -19.890009287, 1.11898176717, 20.78755762, 59.1857346423
LB2ALVA_A, 5194.32252189, 157957.134415, 8402.92991275, -294711.345676, 320335.814242, -319043.43732, -95672.0753326, 8941.46349689, 109423.663996, 305173.781582
LB2NIVA_A, 4542.52613466, 99406.4806374, 2616.83314593, -193047.366702, 191893.382789, -187427.798815, -60466.0193786, 2235.28675157, 68634.5330977, 201762.885636
LB2NIVA_B, -0.919930163381, 29.1376287582, 0.886161737129, -55.9467183717, 55.466863358, -57.3654470244, -20.6579852423, 0.701133289927, 18.6621026528, 54.6297890432
