Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
FCCALNI0A, -2374.00667876, 96196.6574501, 2682.87913622, -190334.417166, 185030.164788, -197551.87592, -66424.6749767, -455.301581435, 62672.6180232, 181921.292979
FCCALNI0B, -0.854735565858, 97.5151930386, 2.57525858951, -184.837678122, 189.296806658, -194.335918438, -63.8055120042, -0.886833338152, 65.1648762073, 183.852301718
FCCALNI1A, 2803.32944277, 102373.224742, 3122.78545331, -197665.774226, 199427.12329, -197665.774226, -64929.7679098, 4332.26337816, 72490.0341092, 200016.236962
FCCALNI1B, -0.304003728451, 100.867458986, 3.09067920848, -208.48096646, 195.13789765, -207.075741403, -65.2637975474, 2.06845227493, 68.3063883195, 197.476530097
FCCALNI2A, -2073.39889722, 99418.7541905, 3007.27436022, -192219.255865, 193407.650279, -191361.866805, -68562.7877871, -248.900798921, 62507.6889676, 197551.67404
FCCALNI2B, 3.57713282444, 104.591297524, 3.24594760964, -198.420075764, 202.172870395, -197.88000803, -67.3974528279, 4.6765435631, 72.6785789609, 204.958361943
FCCALNI3A, -2435.43360388, 99734.8633576, 3083.93328208, -191614.35645, 193095.924249, -201093.814835, -67291.6928334, -4164.51459461, 62551.4340499, 187097.024633
FCCALNI3B, -0.257708048557, 101.502316509, 2.82944965619, -197.038152348, 185.90235006, -190.660442588, -73.4882784531, -1.49252703129, 72.8229527874, 194.556189851
FCCBMAGNNI, 0.845359349821, 1.04058036876, 0.0593562939239, 0.00160367654863, 2.6298169469, 0.0241974053409, 0.217010827596, 0.519623066964, 1.05251305677, 3.52740063404
FCCTCALNI0, -366.045497503, 1908.13574055, 65.840812474, -3886.80916372, 3476.59040974, -3875.98179042, -1705.05090405, -418.286257678, 953.341392143, 3531.50168672
FCCTCALNI1, 142.603064526, 1908.79558128, 54.4234895857, -3340.01577514, 3953.27059205, -3540.85859038, -1120.25745355, 100.255472524, 1407.9513939, 3858.06495922
L12UALNI_A, 2428.8487963, 103103.964728, 3249.1398468, -201713.303899, 206138.308195, -201405.937181, -66035.6620474, 1406.43033149, 73458.3812906, 207739.610152
L12UALNI_B, 1.74752041105, 95.1190451375, 3.09214859664, -188.309988332, 192.47811652, -192.854914957, -59.472843424, 2.90686867651, 62.0587132905, 192.47811652
