error,time,VV0000,VV0001,VV0002,VV0003,VV0004,VV0005,VV0006,VV0007,VV0008,VV0009,VV0010,VV0011,VV0012,VV0013,VV0014,VV0015,VV0016,VV0017,VV0018,VV0019,VV0020,VV0021,VV0022,VV0023,VV0024,VV0025,VV0026,VV0027,VV0028,VV0029,VV0030,VV0031,VV0032,VV0033,VV0034,VV0035,VV0036,VV0037,VV0038,VV0039,VV0040,VV0041,VV0042,VV0043,VV0044,VV0045,VV0046,VV0047,VV0048,VV0049,VV0050,VV0051,VV0052,VV0053,VV0054,VV0055,VV0056,VV0057,VV0058,VV0059,VV0060,VV0061,VV0062,VV0063,VV0064,VV0065,VV0066
2528545429.11,93.62923669815063,-39656.1,3.2538,-27355.0,1.93935,15000.0,-1.5,-297040.0,50.5575,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.04734e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2528545429.11,86.9303765296936,-39656.1,3.2538,-27355.0,1.93935,15000.0,-1.5,-297040.0,50.5575,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2656805610.78,106.29449486732483,-39656.1,3.2538,-27355.0,1.93935,15000.0,-1.5,-297040.0,50.5575,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-84004.27843542708,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2521702147.08,95.03853750228882,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,50.5575,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2562198358.09,89.93398547172546,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,50.5575,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.757856730331162e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2492660664.0,83.81999468803406,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.55316,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2492656404.66,77.8767716884613,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-28577.7,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2267424890.01,111.73401284217834,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2271067315.2,91.68093180656433,-39656.1,3.5944146781876003,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2267425341.41,76.42672896385193,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-3701632.994468035,61412.5,14423.4,-197437.0
2307250501.61,102.97399187088013,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-19058.833110533604,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2274121995.02,83.85186719894409,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.4455609645312153,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2593760548.77,81.61219191551208,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,245.333,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,46702.60200196765,14423.4,-197437.0
2267383199.02,84.10094714164734,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2826607290.5,101.80819463729858,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-62401.43884634595,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2267420858.96,77.10176110267639,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-53.3333,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,1450.574201195567,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2267383200.62,107.30932664871216,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.000436214,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
2186083612.13,78.36724495887756,-39656.1,3.2538,-27355.0,1.93935,22261.446747003007,-1.5,-297040.0,41.09480990834953,-179176.0,33.312,245.333,-2634.67,-16480.0,-67.57510475926796,1.215093700040312e-11,-33080.0,-16.0,9.53904e-12,-23820.0,192.06988527996302,-2634.67,-16480.0,-55383.5,5.392,-64435.3,23095.2,0.00123463,9.52839e-08,0.000871897,1.31471,16432.5,10.0,32790.6,45262.9,-36774.35988620153,-20275.1,-150055.0,41335.6,67135.0,34418.8,-152236.0,-21524.2,0.48737809470703647,-57350.5,1.10633,-41810.9,-6040.3,-0.0005710765083809398,3.13447e-07,1.13542,-5.83812,-1952.0,-533.333,5512.0,32.0,2752.0,3768.0,2522.67,3125.33,-5196.0,-1704.0,1226.67,5122.0,-4257290.0,61412.5,14423.4,-197437.0
